ds,yhat,yhat_lower,yhat_upper
2022-06-27,201.18621442239186,188.20194625220526,214.7111150668237
2022-06-28,202.677115643724,190.33686466095708,214.67003147294326
2022-06-29,200.50902397792115,187.56956281452878,212.36694579406435
2022-06-30,201.24913547467006,188.0190465574574,213.43966842844858
2022-07-01,201.7419010992985,189.86552108533525,213.59345653547524
2022-07-02,201.0146453390793,189.00968220828554,213.9598625208
2022-07-03,200.18163798365964,188.2568234531718,212.44327103950926
2022-07-04,197.92233488539554,185.66483361964714,209.35753564980558
2022-07-05,199.3846978164692,187.54293867598102,212.63563766330262
2022-07-06,197.20391547556423,183.92860462643785,209.5329858017353
2022-07-07,197.9477624617431,186.13891433342485,210.72094205384843
2022-07-08,198.4609244574181,186.66003075606338,211.3643630237943
2022-07-09,197.77060241991433,185.45392001388487,209.40401362292874
2022-07-10,196.99057939239526,183.57931609522322,209.0096979820929
2022-07-11,194.79946606523117,182.6385300756771,207.38048723016604
2022-07-12,196.34403524458008,184.1273721369513,207.5191813403128
2022-07-13,194.25796703073152,181.76275976295912,206.42361359840612
2022-07-14,195.10724098712436,182.01084117854344,207.92123818153354
2022-07-15,195.73450273158767,183.52360269390428,208.16443289948387
2022-07-16,195.1647166858932,182.77550235614856,208.18373468826238
2022-07-17,194.50928730779415,182.3112292578991,206.33194822627655
2022-07-18,192.4443634621181,179.99377389664625,204.87540267143945
2022-07-19,194.11423446779105,181.05663546934943,205.1709302817789
2022-07-20,192.1501379054702,179.65706307167568,204.6909677850489
2022-07-21,193.11571370045354,180.10352508431598,204.76097082510313
2022-07-22,193.85143015086348,180.90791141892484,204.94673961372007
2022-07-23,193.38029193291808,181.06597328627316,205.91103305437497
2022-07-24,192.81201081124928,180.8294034349061,204.30464984333335
2022-07-25,190.82135227246502,178.36670369345737,202.99286391734694
2022-07-26,192.5515653812678,180.5433870053004,204.92075159226204
2022-07-27,190.63321494642307,178.45154654408947,202.3137973365308
2022-07-28,191.62964978539407,178.4313608404783,204.31786168362154
2022-07-29,192.3814323267047,179.79489798515462,204.77270419214668
2022-07-30,191.912039461131,179.8919795948528,203.8225833598727
2022-07-31,191.33169870322544,178.75549900218707,203.07472491319558
